Accident_Index,Longitude,Latitude,SV,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Vehicle1_Type,Vehicle2_Type,Vehicle3_Type,Vehicle1_Manoeuvre,Vehicle2_Manoeuvre,Vehicle3_Manoeuvre,Vehicle1_Location-Restricted_Lane,Vehicle2_Location-Restricted_Lane,Vehicle3_Location-Restricted_Lane,Junction1_Location,Junction2_Location,Junction3_Location,Skidding1_and_Overturning,Skidding2_and_Overturning,Skidding3_and_Overturning,Hit_Object_in_Carriageway1,Hit_Object_in_Carriageway2,Hit_Object_in_Carriageway3,Vehicle1_Leaving_Carriageway,Vehicle2_Leaving_Carriageway,Vehicle3_Leaving_Carriageway,Hit_Object_off_Carriageway1,Hit_Object_off_Carriageway2,Hit_Object_off_Carriageway3,1st_Point_of_Impact1,1st_Point_of_Impact2,1st_Point_of_Impact3,Was_Vehicle 1_Left_Hand_Drive?,Was_Vehicle2_Left_Hand_Drive?,Was_Vehicle 3_Left_Hand_Drive?,Journey_Purpose_of_Driver1,Journey_Purpose_of_Driver2,Journey_Purpose_of_Driver3,Sex_of_Driver1,Sex_of_Driver2,Sex_of_Driver3,Age_Band_of_Driver1,Age_Band_of_Driver2,Age_Band_of_Driver3,Age_of_Vehicle1,Age_of_Vehicle2,Age_of_Vehicle3
201443N132024,-0.839094,51.825799,1,2,2,5,22.0,3,1,30,2,4,5,0,8,4,1,2,1,0,1,9,9,0,18,9,0,10,10,0,4,4,0,6,6,0,13,13,0,7,9,0,9,12,0,1,3,0,1,1,0,6,6,0,1,2,0,6,9,0,1,15,0
201443N224034,-0.901152,51.843874,1,2,1,1,18.38,3,6,60,3,4,5,0,0,1,1,1,0,0,2,9,9,0,9,18,0,10,10,0,6,1,0,1,1,0,13,13,0,3,9,0,9,12,0,3,1,0,1,1,0,6,1,0,1,2,0,11,7,0,13,5,0
201443N233024,-0.603092,51.681052,1,1,1,2,23.24,6,6,30,0,0,0,0,0,4,1,1,0,0,1,8,0,0,18,0,0,10,0,0,9,0,0,6,0,0,13,0,0,9,0,0,12,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,0,0,9,0,0
201443N237024,-0.5377,51.580282,1,5,1,4,22.38,3,3,70,0,0,0,0,0,6,1,1,0,0,2,9,9,9,18,18,18,10,10,10,9,9,9,6,6,6,13,13,13,9,9,9,12,12,12,4,1,1,1,1,1,6,6,6,1,1,1,6,8,6,2,2,7
201443P001114,-1.426011,51.814833,1,1,2,1,17.40,3,6,40,0,0,0,0,0,6,1,2,0,0,2,9,0,0,16,0,0,10,0,0,9,0,0,2,0,0,13,0,0,1,0,0,4,0,0,3,0,0,1,0,0,6,0,0,1,0,0,5,0,0,10,0,0
201443P003094,-1.531687,51.777655,1,2,3,2,14.35,6,6,60,0,0,0,0,0,1,1,1,0,0,2,9,9,0,13,18,0,10,10,0,9,9,0,6,6,0,13,13,0,9,9,0,12,12,0,1,1,0,1,1,0,6,6,0,2,1,0,9,11,0,5,16,0
201443P015054,-0.993403,51.700655,1,1,1,2,5.15,1,3,70,0,0,0,0,0,1,1,1,0,0,2,9,0,0,18,0,0,10,0,0,9,0,0,1,0,0,13,0,0,5,0,0,6,0,0,1,0,0,1,0,0,6,0,0,1,0,0,6,0,0,6,0,0
201443P022044,-1.480115,51.679109,1,3,3,1,3.58,3,6,50,0,0,0,0,0,6,1,2,0,0,2,9,21,21,16,17,16,10,10,10,9,9,9,6,6,6,13,13,13,9,9,9,12,12,12,1,1,3,1,1,1,6,1,1,1,1,1,6,9,6,1,3,4
201443P034044,-1.094302,51.713175,1,2,4,2,9.50,3,6,50,0,0,0,0,0,1,1,2,0,0,2,9,9,0,16,17,0,10,10,0,9,9,0,1,6,0,13,13,0,7,9,0,12,12,0,4,1,0,1,1,0,6,6,0,2,2,0,6,8,0,12,7,0
201443P044104,-1.051738,51.529965,1,2,1,2,2.1,3,6,60,8,4,6,0,0,6,1,1,0,0,2,5,17,0,13,9,0,10,10,0,1,5,0,6,6,0,13,13,0,9,9,0,12,12,0,1,3,0,1,1,0,6,6,0,1,1,0,8,7,0,14,1,0
